english,arabic
 accessory,إضافي
 accordingly,وفقا لذلك
 adjacent,مجاور
 adolescent,يافع
 advantage,"ميزة, فائدة"
 analgesic,مسكن
 anteroposterior,أمامي خلفي
 approximation,"تقدير تقريبي, قيمة تقريبية, تقريب ، مقاربة"
 arbitrary,"اعتباطي, متحاكم, كيفي, استبدادي"
 arranged,منسق ، رتب ، نظم ، سوى ، سوي ، عدل ، كيف
 aspects,النواحي ، الوجوه
 assess,قيم
 assessing,تقييم
 Associated,مرتبط، مصحوب
 Athetoid,كنعاني
 athletes,الرياضيون
 athletics,الالعاب الرياضية
 blight,مفسدة ، أفسد
 blight,لفحة ، مفسدة، جفاف، آفة زراعية
 BURSA,جراب
 bursitis,التهاب الجراب
 captions,التعليقات
 carried out,"منجز, منفذ"
 cephalic,رأسي
 characteristics,الخصائص
 clarity,الوضوح
 classically,بشكل كلاسيكي
 Cleidocranial,ترقوي قحفي
 clinicians,الأطباء السريريون
 clubfeet,الأقدام الحنفاء
 clumsy,الأخرق (غير الملائم ، غير الرشيق)
 coalition,اندماج
 commendable,جدير بالثناء
 competition,المنافسة ، التنافس
 competitive,تنافسي
 completeness,"كمال, تتميم, تكملة"
 completeness,كمال
 concentrated,"مركز, مكثف, كثيف"
 Conditions,حالات ، ظروف
 conoid,شبيه بالمخروط
 considerably,إلى حد كبير
 considerably,"جدا, كثيرا"
 considerations,اعتبارات
 controversial,"مثير للجدل ، خلافي, جدلي"
 convention,مؤتمر، اجتماع ، معاهدة، اتفاقية، ميثاق ، عرف، تقليد، اصطلاح
 conventions,موضعات ، مؤتمرات ، اجتماعات ، معاهدات ، اتفاقيات ، أعراف ، تقاليد
 coracoclavicular,غرابي ترقوي
 couch potato,شخص كسول
 criterium,معيار، مقياس
 criticism,النقد
 crouched,ينحني ، جاثم
 curing,تصليب
 decade,العقد
 defect,عيب
 deliberate,"متأن, متمهل"
 deliberate,متعمد
 deltotrapezial,الدالية شبه المنحرفة
 destabilizing,الزعزعة
 deteriorate,تدهور
 diarthrodial,مفصل زليلي
 dilutional,تمددي
 diminishing,تقليل
 dimpling,ترصع
 diplegic,شللي مزدوج
 disc,قرص
 discomfort,إزعاج ، انزعاج
 disrupted,ممزق
 distinct,متميز
 distinction,"تميز, فرق, علامة فارقة, امتياز, وجاهة, اختلاف, فارق, سمو, تفوق, وسام"
 distribute,وزع
 dotting every 'i' and crossing every 't',لا يترك شاردة ولا واردة
 dynamic,ديناميكي
 dyskinetic,مختل الحركة
 dystonic,مختل التوتر
 eavesdropping,الإنصات
 effectiveness,فعالية
 elastic,مرن
 emphasis,تأكيد
 encyclopaedic,موسوعي
 epidemiology,الوبائيات
 epiphyseal,مشاشي
 etiology,السببيات
 evertor,مشنفة (قالبة للخارج)
 exacerbate,"فاقم, استفحل, زاد الألم, أثار"
 exacerbated,مثار
 excise,أزال
 excision,استئصال
 existence,الوجود
 expense,"نفقة, منصرف, إنفاق"
 experienced,"ذو تجربة, خبير, متمرس, معانى بالتجربة, محنك"
 extrinsic,خارجي
 facet,وجيه
 facets,وجيهات
 fascia,لفافة
 fibrocartilaginous,غضروف ليفي
 football,كرة القدم
 fraction,جزء
 global,شامل
 Gravitational,تجاذبي
 guarded,"حذر, متسم بالحذر"
 Gymnastics,الجمباز
 heavy,ثقيل
 highlight,وضح، أبرز
 highlighted,مبرز ، موضح
 hockey,"الهوكي (اسم لعبة, وهي لعبة الكرة الخشبية و الصولجان)"
 Hypermobility,فرط حركية
 illustrated,مصور
 illustrations,الإيضاحات
 Immunized,محصن، ملقح، ممنع
 impinging,الارتطام
 in practice if not in principle,عمليا إن لم يكن مبدئيا
 incidental,"تصادفي, ليس ذو أهمية, طارئ, عرضي, حادث عارض"
 independence,الاستقلال
 independence,"استقلال, حرية"
 indication,استطباب
 individual,الفرد
 ineffectiveness,عدم الفعالية
 inexperienced,عديم الخبرة
 inferiorly,بشكل سفلي (سفليا)
 informative,"غني بالمعلومات المفيدة, مثقف"
 inspected,"مفحوص, مفتش, مدقق"
 intact,سليم
 interposed,موسط
 Interpreted,مفسر
 into,"في ، داخل, إلى"
 intra-articular,داخل المفصل
 intrinsic,داخلي
 investigation,استقصاء
 involved,مكتنف
 involvement,"تورط, مشاركة"
 Issue,"نسل, إصدار"
 laborers,العمال
 lacrosse,اللاكروس (لعبة)
 land,هبط
 landmarks,المعالم
 lengthy,"طويل, مطول, مسهب"
 limitation,التقييد
 linear,"مؤلف من خطوط, طولي, خطي, ، خطي ، تخطيطي"
 linear,خطي
 local,موضعي
 look out,حذر، انتبه
 L-spine,L-العمود الفقري
 lupus,الذئبة
 magnitude,"كمية, مقدار"
 magnitudes,حجوم
 malalignment,سوء التنضيد
 manual,يدوي
 measures,اجراءات ، تدابير
 Microvascular,الأوعية الدقيقة
 mileage,المسافة بالميل
 milestones,المعالم
 musculotendinous,عضلي وتري
 navicular,زورقي
 Nevertheless,وبالرغم من ذلك
 nevertheless,على الرغم من هذا
 non invasive,غير مؤذي
 Nonreconstructable,غير قابل لإعادة البناء
 obscure,غامض
 observed,"ملاحظ, مراقب"
 opportunity,فرصة
 ossicle,عظيمة
 ossicles,عظيمات
 outer,خارجي
 outstretched,ممدود
 overhead,فوق الرأس
 overhear,اسمع ، سمع مصادفة
 painless,غير مؤلم ، بدون ألم
 parade,استعرض
 parallels,المتوازيات ، يوازي
 paratenon,مجاور الوتر
 Participating,المشاركة
 participation,مشاركة
 pass,يمر
 patulous,متسع
 pertinent,وثيق الصلة
 Plagiocephaly,دنح
 plexopathy,اعتلال الضفيرة
 point out,أشار إلى، أكد
 pointed,مؤنف ، مستدق ، مذبب
 posteriorly,بشكل خلفي (خلفيا)
 posteromedial,خلفي إنسي
 posterosuperior,خلفي علوي
 predicated,مسند
 predominance,السيطرة
 presumed,"مفترض, معتبر"
 prevalence,الانتشار
 prevention,"منع, وقاية"
 primigravida,خروس
 prominence,بروز ، نتوء
 proven,مثبت
 purposely,عن قصد
 reconstruction,إعادة البناء
 recreational,ترفيهي
 reference,مصدر ، مرجع،
 references,المصادر ، المراجع
 regarding,"في ما يختص ب, في ما يتعلق ب, في ما يتصل ب ، بخصوص"
 regardless,مهما يكن
 regional,"منطقي, محلي"
 representative,"تمثيلي, نموذجي ، ممثل, مندوب"
 respectively,على التوالي
 retaining,احتفاظ
 retaining,الاحتفاظ
 rostral,منقاري
