"British Spelling","American Spelling","Rule"
"colour, humour","color, humor","-our → -or"
"centre, metre","center, meter","-re → -er"
"anaemia","anemia","-ae → -e"
"oesophagus, oedema","esophagus, edema","-oe → -e"
"catalogue","catalog","-ogue → -og"
"travelling, equalled","traveling, equaled","-ll- → -l-"
"kidnapped","kidnaped","-pp- → -p-"
"skilful, wilful","skillful, willful","-l- → -ll-"
"organise, deputise","organize, deputize","-ise → -ize"
"organisation","organization","-isation → -ization"
"programme","program","-mme → -m"
"offence, defence","offense, defense","-ce → -se"
